WDPAID,NAME,HF_1993,HF_2009,Change_HF_1993_2009,Tree_area_2000,Loss_area_2001,Loss_area_2002,Loss_area_2003,Loss_area_2004,Loss_area_2005,Loss_area_2006,Loss_area_2007,Loss_area_2008,Loss_area_2009,Loss_area_2010,Loss_area_2011,Loss_area_2012,Forest_loss_2001_to_2012,Forest_gain_2001_to_2012,percent_forest_loss_2001_to_2012
17759,Gros Morne National Park,2.5450,2.4260,-0.1296,769.2825591,0.401685394,0.084917761,0.372684604,0.06156095,0.20537306,0.122701898,0.050978105,0.008910044,0.12425242,0.179794684,0.173760182,0.021427415,1.808046517,0.857742754,0.235030223
17760,Manu National Park,0.5408,0.8064,0.1992,16236.16832,2.621362172,2.832386358,3.259886231,4.05282596,4.544844083,2.149758026,7.124361735,3.736465505,2.907210292,2.931497338,2.905478524,6.86564097,45.93171719,13.88650711,0.282897518
17761,Kilimanjaro National Park,7.6978,8.0131,0.3172,116.585743,0.323386172,0.035994307,0.031281212,0.03885095,0,0,0.037422377,0.005856687,0,0.032565364,0.041138811,0.026424065,0.572919945,13.11330261,0.491415099
18337,Hawaii Volcanoes National Park,6.0557,5.3229,-0.7306,70.86150188,0.350951336,0.611204788,1.803165322,0.064730868,0.051350891,0.017972598,0.184716912,0.111886754,0.329830282,0.211724372,0.104863179,0.02918407,3.871581371,0.027016391,5.46358921
18862,Meteora,28.3333,14.0000,-14.3333,0.797034895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18863,Mount Athos,11.1613,10.2142,-0.9470,226.4142174,0.260771449,0.713959136,0.17681211,0.656687828,0.535027226,0.647049102,0.507405121,0.693951845,0.974521864,0.564463731,0.761114337,6.627351563,13.11911531,0.757443993,5.794298372
20062,Sian Ka'an,6.7651,4.8557,-1.9138,1515.391972,0.012452956,0.294225168,0.140870791,0.21765303,0.456231203,0.044549385,0.217083409,0.736007799,0.752196942,0.094729683,13.45516569,0.38170848,16.80287454,0.404552889,1.108813749
20171,Cliff of Bandiagara (Land of the Dogons),8.4482,9.0511,0.5983,0.959068141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20388,Banc d'Arguin National Park,2.3237,2.3135,-0.0111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20399,Mosi-oa-Tunya / Victoria Falls,15.3197,14.8582,-0.4615,6.857015371,0,0,0.001907047,0,0,0,0,0,0,0,0,0,0.001907047,0,0.027811616
26649,Tongariro National Park,3.3157,3.3020,0.0013,415.974726,0.009137981,0.018895966,0.009673034,0.020088114,0.070279259,0.079271972,0,0,0,0,0.009558631,0.065770445,0.282675401,0.089320773,0.067954946
26651,R¡o Abiseo National Park,2.0902,2.2601,0.1664,1850.474193,0.53422903,0.64742542,0.505382635,0.234329454,0.824295394,0.22006361,1.521666494,0.494247394,0.985313044,1.805128159,0.270522634,4.626540089,12.66914336,0.212603077,0.684643072
26652,Te Wahipounamu ÔÇô South West New Zealand,2.1336,2.3829,0.2461,13668.63191,1.038986211,1.148611484,11.77887691,4.118619849,4.513941705,1.446579796,3.505350931,1.701905275,3.718940857,3.990169234,2.961246978,1.134208746,41.05743798,10.02459931,0.300377084
26653,Tsingy de Bemaraha Strict Nature Reserve,2.2164,3.0351,0.8213,632.3193349,0.007728039,0.009774564,0.024264368,0.048103992,0.068314815,0.084453175,0.104334639,0.161410855,0.092770839,0.131441656,0.066523061,0.030532019,0.829652023,0.013577009,0.131207758
26654,Mount Huangshan,9.6801,10.0318,0.3841,125.9922323,0.020609482,0.009311546,0,0,0,0.00744867,0.032511207,0.011414161,0.016013247,0,0.009800978,0,0.10710929,0.086935441,0.085012614
26689,Canadian Rocky Mountain Parks,1.3433,1.2921,-0.0511,7997.485701,14.60170365,18.92399391,87.97539388,180.9469311,38.47252901,24.77805336,6.716399302,16.82857364,14.31099488,10.15295827,2.703755746,8.051702542,424.4629893,43.6082456,5.307455433
61604,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),0.6948,0.6294,-0.0654,0.989029301,0.006995932,0,0.005735009,0,0,0.002293971,0,0,0.002707616,0,0,0,0.017732529,0,1.792922475
61608,Rwenzori Mountains National Park,7.0148,6.6850,-0.3310,768.3226286,0.947305969,0.249734793,0.392053374,0.198529075,0.291213394,0.435678055,0.282345151,0.55510969,0.684696223,1.094769225,0.89524173,0.323684508,6.350361187,1.787901078,0.826522733
61609,Bwindi Impenetrable National Park,7.0826,6.2261,-0.8909,287.647255,0.095389565,0.026744,0.012584901,0.049196258,0.042618698,0.058206772,0.145875685,0.049482297,0,0.138007751,0.107832678,0.050771123,0.776709726,1.015395995,0.270021602
61610,Los Kat¡os National Park,4.5358,5.8534,1.3090,707.3065658,0,0.082786745,0.027641962,0.193605703,0.04153461,0.028210559,0.097660132,0.152515604,0.235253191,0.108721925,0.124588175,0.539918265,1.632436871,0.170070743,0.230796227
61611,Donana National Park,9.5412,8.2309,-1.3623,29.0356749,0,0.09434955,0.213184402,0.128642572,0.08147134,0.009665891,0.006893514,0.061775027,0.197516988,1.14564018,0.131749227,0.051149678,2.122038369,0.700649452,7.30838314
61612,Canaima National Park,1.3794,1.3330,-0.0942,20264.84023,11.86566188,5.039279454,25.06971509,3.45223455,4.256929116,6.193314385,6.270392641,5.644398616,6.853150927,9.656362806,5.485792682,15.87824676,105.6654789,3.417830316,0.521422709
67724,"Shark Bay, Western Australia",4.7907,5.4029,0.5872,46.66506304,0.00191619,5.11E-04,0,0.102783702,0.002301731,1.75949785,2.02661878,3.85E-04,1.746699702,0.144675156,0.001279754,0,5.786668695,0.038512255,12.40043047
67725,Komodo National Park,6.1988,10.6160,4.2625,130.9599351,0.086572489,0.007637734,0.003537146,0.010748497,0,0.011172114,0.01951763,0.017116492,0.024338251,0.043427977,0.025603102,0.021926582,0.271598012,0.353709081,0.207390155
67726,Ujung Kulon National Park,8.7331,7.7612,-0.9908,550.7025599,0.057821534,0.149447315,0.062789545,0.278607755,0.117630821,0.068612693,0.076426045,0.126857417,0.049730643,0.033811453,0.092627259,0.163944646,1.278307125,0.582496298,0.232122968
67727,Air and Tenere Natural Reserves,0.2464,0.3486,0.1016,4.06E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67728,Danube Delta,6.8177,4.4909,-2.3257,708.6311131,0.105684735,0.056154998,0.054777363,0.040659382,0.11669826,0.11923974,0.192190278,0.096602427,0.057878783,0.113782709,0.123337341,0.36684118,1.443847196,1.300824905,0.203751595
